loja;PDV;IP;V P2K;Time UP;V PROC;MEM;;;;;
244;PDV 20;192.168.49.77;16.12.01; 15:59:34 up 7:54, 2 users, load average: 0.00, 0.00, 0.00;2.6.32-358.11.1.el6.i686;947;;;;;
173;PDV 28;192.168.229.40;16.12.01; 14:59:18 up 6:18, 2 users, load average: 0.02, 0.13, 0.08;2.6.32-358.11.1.el6.i686;972;;;;;
44;PDV 43;192.168.107.206;16.12.01; 15:58:33 up 21:00, 2 users, load average: 0,16, 0,20, 0,17;3.10.0-1160.81.1.el7.x86_64;1664;;;;;
48;PDV 2;192.9.245.39;16.12.01; 15:58:05 up 6:52, 2 users, load average: 0,28, 0,32, 0,27;3.10.0-1160.81.1.el7.x86_64;1664;;;;;
56;PDV 27;192.168.109.233;16.12.01; 15:58:32 up 7:28, 2 users, load average: 0,08, 0,07, 0,12;3.10.0-1160.81.1.el7.x86_64;1664;;;;;
68;PDV 22;192.168.122.26;16.13.02; 15:58:36 up 7:51, 3 users, load average: 0,39, 0,25, 0,21;3.10.0-1160.81.1.el7.x86_64;1664;;;;;
136;PDV 1;192.168.192.203;16.12.01; 15:58:43 up 6:54, 2 users, load average: 0,02, 0,05, 0,12;3.10.0-1160.81.1.el7.x86_64;1664;;;;;
239;PDV 27;192.168.55.191;16.12.01; 15:59:33 up 7:12, 2 users, load average: 0,35, 0,12, 0,13;3.10.0-1160.81.1.el7.x86_64;1664;;;;;
262;PDV 18;10.253.243.89;16.12.01; 15:59:25 up 6:59, 3 users, load average: 0,12, 0,08, 0,05;3.10.0-1160.81.1.el7.x86_64;1664;;;;;
262;PDV 33;10.253.243.196;16.12.01; 16:00:05 up 6:59, 2 users, load average: 0,10, 0,09, 0,06;3.10.0-1160.81.1.el7.x86_64;1664;;;;;
266;PDV 19;10.253.247.198;16.12.01; 16:00:33 up 6:39, 2 users, load average: 0,04, 0,03, 0,08;3.10.0-1160.81.1.el7.x86_64;1664;;;;;
268;PDV 1;10.253.249.210;16.12.01; 15:59:23 up 7:01, 2 users, load average: 0,38, 0,12, 0,07;3.10.0-1160.81.1.el7.x86_64;1664;;;;;
275;PDV 20;10.251.1.197;16.12.01; 15:59:33 up 8 days, 21:50, 2 users, load average: 0,09, 0,05, 0,05;3.10.0-1160.81.1.el7.x86_64;1664;;;;;
275;PDV 26;10.251.1.221;16.12.01; 15:59:55 up 6:03, 2 users, load average: 0,35, 0,24, 0,23;3.10.0-1160.81.1.el7.x86_64;1664;;;;;
278;PDV 35;10.251.4.68;16.12.01; 16:00:12 up 6:44, 2 users, load average: 0,07, 0,21, 0,23;3.10.0-1160.81.1.el7.x86_64;1664;;;;;
