Loja;Nome Loja;Regional;GGL;2024;POS;PDV;PDV OB;RET;RET OB
46;SH Barra Rio Janeiro;RJ I;GGL 3;148.487.677;1;16;0;13;1
47;SH Park Brasilia;CO I;GGL 2;137.199.125;2;15;2;13;1
13;SH Iguatemi POA;RS II;GGL 1;135.325.420;3;17;0;10;0
49;SH Center Norte;SP I;GGL 2;103.586.492;4;11;0;10;1
37;SH Niteroi Plaza;RJ II;GGL 3;101.638.752;5;16;0;14;2
39;SH Rio Sul;RJ II;GGL 3;100.778.587;6;12;0;10;2
43;SH Morumbi;SP III;GGL 2;99.736.436;7;11;0;9;0
53;SH Metro Tatuape;SP I;GGL 2;93.641.737;8;17;0;12;0
40;SH Belo Horizonte;MG;GGL 2;92.251.280;9;6;0;7;1
102;SH Salvador;NE I;GGL 3;87.343.007;10;10;0;13;0
63;SH Rio Preto;SP VII;GGL 2;84.790.506;11;11;1;11;0
72;SH Parque Dom Pedro;SP IV;GGL 1;83.800.920;12;10;2;10;5
56;SH Flamboyant;CO II;GGL 2;82.807.233;13;10;1;9;0
27;SH Eldorado;SP II;GGL 2;81.084.279;14;14;0;13;1
59;SH Taguatinga;CO I;GGL 2;79.451.629;15;12;0;12;4
87;SH Recife;NE II;GGL 3;79.272.818;16;11;1;13;1
175;LJ Av. Paulista;SP II;GGL 2;78.818.060;17;11;2;13;0
44;SH Iguatemi Campinas;SP IV;GGL 1;78.400.932;18;15;1;11;0
2;SH Praia de Belas;RS I;GGL 1;75.957.879;19;11;0;9;1
234;SH Riomar Recife;NE II;GGL 3;75.190.324;20;8;0;12;0
10;SH Novo Hamburgo;RS II;GGL 1;74.827.623;21;11;1;11;0
106;SH Manaira;NE II;GGL 3;73.579.453;22;8;0;9;0
84;SH IguatemiFortaleza;NE III;GGL 3;73.076.388;23;14;1;8;0
4;SH Beiramar;SC;GGL 1;72.661.961;24;11;1;14;2
31;SH Ribeirao Preto;SP V;GGL 2;72.242.190;25;11;1;7;1
126;SH BarraSul;RS I;GGL 1;71.943.129;26;13;0;13;5
26;SH Esplanada;SP II;GGL 2;71.482.580;27;10;0;13;1
119;SH  Palladium Curit.;PR;GGL 1;70.768.724;28;9;2;11;1
110;SH Camboriu;SC;GGL 1;70.237.481;29;8;0;9;0
395;SH Park Canoas;RS II;GGL 1;70.148.103;30;10;0;10;0
50;SH Praiamar;SP VI;GGL 1;69.540.135;31;14;3;11;0
159;SH Boulevard;NO;GGL 3;66.313.741;32;11;1;12;0
